race_date,race_city,race_no,race_type,race_sex_group,race_age_group,race_race_group,race_length,race_track_type,race_track_condition,best_rating
2024-01-01,Bursa,1,Condition 2,Undefined,3 Years Old,English,1400,Dirt,Good Going,1.24.50
2024-01-01,Bursa,2,Maiden,Undefined,4 Years Old,Arabian,1400,Dirt,Good Going,1.33.63
2024-01-01,Bursa,3,Condition 3,Female,3 Years Old,English,1200,Dirt,Good Going,1.11.37
2024-01-01,Bursa,4,Condition 4,Undefined,4 Years Old and Up,Arabian,2000,Dirt,Good Going,2.18.40
2024-01-01,Bursa,5,Handicap 15,Undefined,4 Years Old and Up,English,1300,Dirt,Good Going,1.18.11
2024-01-01,Bursa,6,Condition 3,Undefined,4 Years Old and Up,English,1400,Dirt,Good Going,1.24.50
2024-01-01,Bursa,7,Maiden,Undefined,4 Years Old,Arabian,1400,Dirt,Good Going,1.33.63
2024-01-01,Bursa,8,Condition-6,Female,4 Years Old and Up,English,1300,Dirt,Good Going,1.18.11
2024-01-01,Bursa,9,Handicap 14,Female,4 Years Old and Up,Arabian,1800,Dirt,Good Going,2.03.83
2024-01-02,Adana,1,Condition 5,Female,4 Years Old,Arabian,1400,Dirt,Good Going,1.34.68
2024-01-02,Adana,2,Handicap 21,Undefined,4 Years Old and Up,English,1900,Dirt,Good Going,2.00.00
2024-01-02,Adana,3,Condition 4,Female,4 Years Old and Up,English,1300,Dirt,Good Going,1.18.98
2024-01-02,Adana,4,Condition-6,Female,3 Years Old,English,1300,Dirt,Good Going,1.18.98
2024-01-02,Adana,5,Maiden,Undefined,3 Years Old,English,1400,Dirt,Good Going,1.24.53
2024-01-02,Adana,6,Handicap 21,Undefined,4 Years Old and Up,Arabian,1400,Dirt,Good Going,1.34.68
2024-01-02,Antalya,1,Condition 5,Undefined,4 Years Old,Arabian,1300,Dirt,Good Going,1.27.60
2024-01-02,Antalya,2,Handicap 13,Undefined,3 Years Old,English,1400,Dirt (Polytrack),Good Going,1.23.31
2024-01-02,Antalya,3,Handicap 17,Undefined,4 Years Old and Up,English,1700,Dirt (Polytrack),Good Going,1.41.46
2024-01-02,Antalya,4,Maiden,Female,4 Years Old,Arabian,1400,Dirt,Good Going,1.35.03
2024-01-02,Antalya,5,Condition 4,Undefined,4 Years Old and Up,Arabian,1400,Dirt,Good Going,1.35.03
2024-01-02,Antalya,6,Condition 3,Undefined,3 Years Old,English,1400,Dirt,Good Going,1.24.74
2024-01-02,Antalya,7,Maiden,Female,4 Years Old,Arabian,1400,Dirt,Good Going,1.35.03
2024-01-02,Antalya,8,Condition 2,Undefined,4 Years Old and Up,English,1500,Dirt (Polytrack),Good Going,1.29.01
2024-01-03,İstanbul,1,Condition 3,Undefined,3 Years Old,English,1500,Dirt (Polytrack),Good Going,1.28.19
2024-01-03,İstanbul,2,Handicap 14,Undefined,4 Years Old,Arabian,1500,Dirt (Polytrack),Good Going,1.37.40
2024-01-03,İstanbul,3,Handicap 16,Female,4 Years Old and Up,English,1200,Dirt (Polytrack),Good Going,1.09.93
2024-01-03,İstanbul,4,Maiden,Undefined,4 Years Old,Arabian,1400,Dirt (Polytrack),Good Going,1.31.22
2024-01-03,İstanbul,5,Handicap 15,Female,3 Years Old,English,1200,Dirt (Polytrack),Good Going,1.09.93
2024-01-03,İstanbul,6,Handicap 16,Undefined,4 Years Old and Up,Arabian,1500,Dirt (Polytrack),Good Going,1.37.40
